BehaviorSpace results (NetLogo 6.1.1),,,,,,,
TP1_base_v9.nlogo,,,,,,,
def_ratos_t2_t1_gatos,,,,,,,
11/08/2020 20:23:35:534 +0000,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,
-16,16,-16,16,,,,
[run number],taticas_dos_ratos,N-cats,taticas_dos_gatos,N-mice,ticks,,
25,default,5,tarefa_2_tatica_1,10,71,,"163,1"
6,default,5,tarefa_2_tatica_1,10,76,,
22,default,5,tarefa_2_tatica_1,10,79,,
11,default,5,tarefa_2_tatica_1,10,85,,
10,default,5,tarefa_2_tatica_1,10,105,,
26,default,5,tarefa_2_tatica_1,10,109,,
19,default,5,tarefa_2_tatica_1,10,112,,
14,default,5,tarefa_2_tatica_1,10,112,,
8,default,5,tarefa_2_tatica_1,10,124,,
5,default,5,tarefa_2_tatica_1,10,132,,
4,default,5,tarefa_2_tatica_1,10,134,,
21,default,5,tarefa_2_tatica_1,10,134,,
30,default,5,tarefa_2_tatica_1,10,138,,
27,default,5,tarefa_2_tatica_1,10,141,,
12,default,5,tarefa_2_tatica_1,10,144,,
24,default,5,tarefa_2_tatica_1,10,144,,
2,default,5,tarefa_2_tatica_1,10,155,,
28,default,5,tarefa_2_tatica_1,10,159,,
18,default,5,tarefa_2_tatica_1,10,160,,
23,default,5,tarefa_2_tatica_1,10,170,,
7,default,5,tarefa_2_tatica_1,10,188,,
1,default,5,tarefa_2_tatica_1,10,210,,
29,default,5,tarefa_2_tatica_1,10,217,,
16,default,5,tarefa_2_tatica_1,10,226,,
13,default,5,tarefa_2_tatica_1,10,228,,
17,default,5,tarefa_2_tatica_1,10,231,,
9,default,5,tarefa_2_tatica_1,10,244,,
3,default,5,tarefa_2_tatica_1,10,262,,
15,default,5,tarefa_2_tatica_1,10,298,,
20,default,5,tarefa_2_tatica_1,10,305,,
