"BehaviorSpace results (NetLogo 6.1.1)"
"TP1_base_v9.nlogo"
"default_5_10"
"11/08/2020 19:26:57:899 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","taticas_dos_ratos","taticas_dos_gatos","N-cats","N-mice","[step]","ticks"
"7","default","default","5","10","115","116"
"4","default","default","5","10","116","117"
"14","default","default","5","10","141","142"
"10","default","default","5","10","108","109"
"8","default","default","5","10","94","95"
"12","default","default","5","10","144","145"
"11","default","default","5","10","84","85"
"2","default","default","5","10","129","130"
"6","default","default","5","10","113","114"
"5","default","default","5","10","143","144"
"13","default","default","5","10","159","160"
"16","default","default","5","10","116","117"
"3","default","default","5","10","182","183"
"1","default","default","5","10","124","125"
"15","default","default","5","10","225","226"
"18","default","default","5","10","88","89"
"9","default","default","5","10","248","249"
"21","default","default","5","10","84","85"
"17","default","default","5","10","153","154"
"19","default","default","5","10","111","112"
"20","default","default","5","10","123","124"
"25","default","default","5","10","104","105"
"23","default","default","5","10","114","115"
"28","default","default","5","10","79","80"
"22","default","default","5","10","128","129"
"26","default","default","5","10","121","122"
"24","default","default","5","10","174","175"
"27","default","default","5","10","159","160"
"30","default","default","5","10","112","113"
"29","default","default","5","10","270","271"
