BehaviorSpace results (NetLogo 6.1.1),,,,,,,,,,,,,,,,,,
TP1_base_v9.nlogo,,,,,,,,,,,,,,,,,,
experiment,,,,,,,,,,,,,,,,,,
11/08/2020 20:44:19:292 +0000,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,
-16,16,-16,16,,,,,,,,,,,,,,,
[run number],taticas_dos_ratos,mostrar_energia,%_reproducao_Gatos,N-cats,%_de_Ratoeiras,energia,%_reproducao_Ratos,taticas_dos_gatos,%_de_Queijo,reproducao,%_de_Buracos,N-mice,[step],count mice,count cats,ticks,,
5,default,true,10,5,2,true,80,default,2,true,2,10,67,0,6,68,,"136,766666666667"
17,default,true,10,5,2,true,80,default,2,true,2,10,78,0,5,79,,
4,default,true,10,5,2,true,80,default,2,true,2,10,79,0,5,80,,
2,default,true,10,5,2,true,80,default,2,true,2,10,79,0,6,80,,
1,default,true,10,5,2,true,80,default,2,true,2,10,79,0,9,80,,
27,default,true,10,5,2,true,80,default,2,true,2,10,87,0,5,88,,
25,default,true,10,5,2,true,80,default,2,true,2,10,89,0,5,90,,
15,default,true,10,5,2,true,80,default,2,true,2,10,92,0,5,93,,
16,default,true,10,5,2,true,80,default,2,true,2,10,94,0,5,95,,
13,default,true,10,5,2,true,80,default,2,true,2,10,99,0,8,100,,
8,default,true,10,5,2,true,80,default,2,true,2,10,104,0,6,105,,
9,default,true,10,5,2,true,80,default,2,true,2,10,109,0,8,110,,
21,default,true,10,5,2,true,80,default,2,true,2,10,109,0,6,110,,
20,default,true,10,5,2,true,80,default,2,true,2,10,119,0,5,120,,
30,default,true,10,5,2,true,80,default,2,true,2,10,121,0,5,122,,
18,default,true,10,5,2,true,80,default,2,true,2,10,131,0,5,132,,
12,default,true,10,5,2,true,80,default,2,true,2,10,134,0,5,135,,
23,default,true,10,5,2,true,80,default,2,true,2,10,134,0,5,135,,
26,default,true,10,5,2,true,80,default,2,true,2,10,137,0,6,138,,
22,default,true,10,5,2,true,80,default,2,true,2,10,147,0,6,148,,
29,default,true,10,5,2,true,80,default,2,true,2,10,149,0,5,150,,
28,default,true,10,5,2,true,80,default,2,true,2,10,152,0,6,153,,
10,default,true,10,5,2,true,80,default,2,true,2,10,157,0,5,158,,
19,default,true,10,5,2,true,80,default,2,true,2,10,177,0,6,178,,
7,default,true,10,5,2,true,80,default,2,true,2,10,186,0,5,187,,
14,default,true,10,5,2,true,80,default,2,true,2,10,190,0,4,191,,
24,default,true,10,5,2,true,80,default,2,true,2,10,192,0,4,193,,
3,default,true,10,5,2,true,80,default,2,true,2,10,206,0,4,207,,
6,default,true,10,5,2,true,80,default,2,true,2,10,239,0,1,240,,
11,default,true,10,5,2,true,80,default,2,true,2,10,337,1,0,338,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Média:,"136,766666666667",,
