BehaviorSpace results (NetLogo 6.1.1),,,,,,,
TP1_base_v9.nlogo,,,,,,,
t1_t2_ratos_def_gatos,,,,,,,
11/08/2020 19:28:24:054 +0000,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,
-16,16,-16,16,,,,
[run number],taticas_dos_ratos,N-cats,taticas_dos_gatos,N-mice,ticks,,
2,tarefa_1_tatica_2,5,default,10,80,,"178,7"
1,tarefa_1_tatica_2,5,default,10,92,,
15,tarefa_1_tatica_2,5,default,10,110,,
24,tarefa_1_tatica_2,5,default,10,113,,
12,tarefa_1_tatica_2,5,default,10,118,,
4,tarefa_1_tatica_2,5,default,10,119,,
18,tarefa_1_tatica_2,5,default,10,122,,
9,tarefa_1_tatica_2,5,default,10,130,,
3,tarefa_1_tatica_2,5,default,10,138,,
6,tarefa_1_tatica_2,5,default,10,139,,
11,tarefa_1_tatica_2,5,default,10,140,,
25,tarefa_1_tatica_2,5,default,10,140,,
21,tarefa_1_tatica_2,5,default,10,146,,
19,tarefa_1_tatica_2,5,default,10,152,,
30,tarefa_1_tatica_2,5,default,10,157,,
7,tarefa_1_tatica_2,5,default,10,161,,
14,tarefa_1_tatica_2,5,default,10,163,,
13,tarefa_1_tatica_2,5,default,10,165,,
20,tarefa_1_tatica_2,5,default,10,177,,
23,tarefa_1_tatica_2,5,default,10,187,,
27,tarefa_1_tatica_2,5,default,10,195,,
26,tarefa_1_tatica_2,5,default,10,207,,
29,tarefa_1_tatica_2,5,default,10,212,,
10,tarefa_1_tatica_2,5,default,10,221,,
8,tarefa_1_tatica_2,5,default,10,228,,
22,tarefa_1_tatica_2,5,default,10,252,,
5,tarefa_1_tatica_2,5,default,10,291,,
28,tarefa_1_tatica_2,5,default,10,295,,
17,tarefa_1_tatica_2,5,default,10,353,,
16,tarefa_1_tatica_2,5,default,10,358,,
